id,set,question_id,question_label,question_text,response_scale,config,problem_description,theme,overlap_flag,rater_classification,rater_confidence
ESS_CI_C5_1,ESS,C5,Life satisfaction (ESS R11),"All things considered, how satisfied are you with your life as a whole nowadays? Please answer on a scale of 0 to 10, where 0 means extremely dissatisfied and 10 means extremely satisfied.",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,CI-Guided,Respondents find it challenging to combine different aspects of life satisfaction into a single overall score because these aspects do not weigh equally or vary greatly in satisfaction levels.,Aggregation difficulty,TRUE,,
ESS_ER_C5_1,ESS,C5,Life satisfaction (ESS R11),"All things considered, how satisfied are you with your life as a whole nowadays? Please answer on a scale of 0 to 10, where 0 means extremely dissatisfied and 10 means extremely satisfied.",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,ER-Directed,The phrase 'All things considered' is ambiguous and may lead to different interpretations by respondents regarding what aspects of life to include.,Vague/ambiguous terms,TRUE,,
ESS_ER_C5_2,ESS,C5,Life satisfaction (ESS R11),"All things considered, how satisfied are you with your life as a whole nowadays? Please answer on a scale of 0 to 10, where 0 means extremely dissatisfied and 10 means extremely satisfied.",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,ER-Directed,"The term 'nowadays' is vague and may lead to different interpretations of the time frame to consider, causing difficulties in retrieving relevant life satisfaction information.",Vague/ambiguous terms,TRUE,,
ESS_CI_C6_1,ESS,C6,Climate change worry (ESS R11),How worried are you about climate change?,Not at all worried; Not very worried; Somewhat worried; Very worried; Extremely worried,CI-Guided,"The response options lack granularity, particularly between 'somewhat worried' and 'very worried', making it difficult for respondents to accurately reflect their level of concern.",Response option inadequacy,TRUE,,
ESS_CI_C6_2,ESS,C6,Climate change worry (ESS R11),How worried are you about climate change?,Not at all worried; Not very worried; Somewhat worried; Very worried; Extremely worried,CI-Guided,"The term 'worried' may be interpreted differently by respondents, encompassing immediate anxiety or a broader concern about the future, leading to potential variability in responses.",Response option inadequacy,TRUE,,
ESS_ER_C6_1,ESS,C6,Climate change worry (ESS R11),How worried are you about climate change?,Not at all worried; Not very worried; Somewhat worried; Very worried; Extremely worried,ER-Directed,"The term 'climate change' may have different meanings to respondents, leading to varied interpretations based on their understanding or beliefs about what constitutes climate change.",Vague/ambiguous terms,TRUE,,
ESS_ER_C6_2,ESS,C6,Climate change worry (ESS R11),How worried are you about climate change?,Not at all worried; Not very worried; Somewhat worried; Very worried; Extremely worried,ER-Directed,"The response options may not capture the full range of possible worries a respondent might have, and the scale could be interpreted differently by different respondents.",Response option inadequacy,TRUE,,
ESS_ER_C6_3,ESS,C6,Climate change worry (ESS R11),How worried are you about climate change?,Not at all worried; Not very worried; Somewhat worried; Very worried; Extremely worried,ER-Directed,"The question might lead respondents to provide answers that align with socially accepted concerns about climate change, thus influencing honesty.",Other,TRUE,,
ESS_ER_C7_1,ESS,C7,Fruit consumption (ESS R11),"How often do you eat fruit, excluding drinking juice?",Three times or more a day; Twice a day; Once a day; Less than once a day but at least 4 times a week; Less than 4 times a week but at least once a week; Less than once a week; Never,ER-Directed,The phrase 'excluding drinking juice' might cause confusion about whether it includes all forms of liquid fruit consumption or just commercially prepared juices.,Other,FALSE,,
ESS_ER_C7_2,ESS,C7,Fruit consumption (ESS R11),"How often do you eat fruit, excluding drinking juice?",Three times or more a day; Twice a day; Once a day; Less than once a day but at least 4 times a week; Less than 4 times a week but at least once a week; Less than once a week; Never,ER-Directed,Respondents may struggle to accurately recall their fruit consumption frequency over an undefined reference period.,Vague/ambiguous terms,FALSE,,
ESS_ER_C7_3,ESS,C7,Fruit consumption (ESS R11),"How often do you eat fruit, excluding drinking juice?",Three times or more a day; Twice a day; Once a day; Less than once a day but at least 4 times a week; Less than 4 times a week but at least once a week; Less than once a week; Never,ER-Directed,"The response options are not mutually exclusive and may confuse respondents, particularly those who consume fruit exactly 4 times a week.",Response option inadequacy,FALSE,,
ESS_CI_C8_1,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,CI-Guided,Respondents found it challenging to condense varying degrees of control over different aspects of their life into a single numeric response.,Response option inadequacy,TRUE,,
ESS_CI_C8_2,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,CI-Guided,"Respondents expressed uncertainty about the interpretation of the term 'control', suggesting that different people might interpret it differently.",Vague/ambiguous terms,TRUE,,
ESS_CI_C8_3,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,CI-Guided,"Respondent expressed low confidence in their selected response, despite choosing a definitive answer.",Response option inadequacy,TRUE,,
ESS_ER_C8_1,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,ER-Directed,"The phrase 'control over your life in general nowadays' may be interpreted differently by respondents, leading to varied interpretations such as financial, emotional, or general life satisfaction.",Vague/ambiguous terms,TRUE,,
ESS_ER_C8_2,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,ER-Directed,Respondents may struggle to assess their control over life due to the vague time frame 'nowadays' and lack of a specific reference period.,Vague/ambiguous terms,TRUE,,
ESS_ER_C8_3,ESS,C8,Control over life (ESS R11),"How much control do you feel you have over your life in general nowadays? Please answer on a scale of 0 to 10, where 0 means no control at all and 10 means complete control.",0 - No control at all; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Complete control,ER-Directed,"The question presupposes that all respondents have some level of control over their life, which may not be true for everyone.",Presupposition,TRUE,,
FP_CI_F1_1,flawed_FP,F1,Local council services,How satisfied or dissatisfied are you with the recycling services and street cleaning provided by your local council?,Very satisfied; Fairly satisfied; Neither satisfied nor dissatisfied; Fairly dissatisfied; Very dissatisfied,CI-Guided,"The survey question does not specify a time frame, leading to uncertainty about which period respondents should consider when assessing their satisfaction.",Leading/biasing,TRUE,,
FP_CI_F10_1,flawed_FP,F10,Neighbourhood safety,How safe do you feel in your neighbourhood during the day and after dark?,Very safe; Fairly safe; Neither safe nor unsafe; Fairly unsafe; Very unsafe,CI-Guided,"The response options do not capture the nuances in safety feelings between day and night, leading to potential inaccuracies in the responses.",Response option inadequacy,TRUE,,
FP_CI_F11_1,flawed_FP,F11,Healthcare access,"In the past 12 months, how easy has it been to get an appointment with a healthcare professional when you needed one?",Very easy; Fairly easy; Neither easy nor difficult; Fairly difficult; Very difficult,CI-Guided,The response options do not adequately capture certain nuances such as mixed experiences or the frustration of the process.,Response option inadequacy,TRUE,,
FP_CI_F12_1,flawed_FP,F12,Gender roles,Research consistently shows that children benefit from having a parent at home in the early years. How important do you think it is that mothers stay at home to look after their children before they start school?,Very important; Fairly important; Not very important; Not at all important,CI-Guided,"The question assumes that having a parent at home is beneficial for children, which may not apply universally, potentially leading to biased or inaccurate responses.",Response option inadequacy,TRUE,,
FP_CI_F12_2,flawed_FP,F12,Gender roles,Research consistently shows that children benefit from having a parent at home in the early years. How important do you think it is that mothers stay at home to look after their children before they start school?,Very important; Fairly important; Not very important; Not at all important,CI-Guided,"The terms 'stay at home' and 'before they start school' are seen as vague, leading to potential misunderstandings about the question's intent.",Vague/ambiguous terms,TRUE,,
FP_ER_F12_1,flawed_FP,F12,Gender roles,Research consistently shows that children benefit from having a parent at home in the early years. How important do you think it is that mothers stay at home to look after their children before they start school?,Very important; Fairly important; Not very important; Not at all important,ER-Directed,"The question presupposes agreement with the idea that children benefit from having a parent at home and that it should be the mother, which may not align with all respondents' views.",Presupposition,TRUE,,
FP_ER_F12_2,flawed_FP,F12,Gender roles,Research consistently shows that children benefit from having a parent at home in the early years. How important do you think it is that mothers stay at home to look after their children before they start school?,Very important; Fairly important; Not very important; Not at all important,ER-Directed,"The question addresses sensitive topics related to gender roles and parenting, which may lead to socially desirable responses.",Response option inadequacy,TRUE,,
FP_CI_F13_1,flawed_FP,F13,Life satisfaction,"Taking everything into account, how satisfied are you with the way things are going in your life at this moment?",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,CI-Guided,"Respondents find it challenging to combine different aspects of life satisfaction into a single overall score, which may lead to an inaccurate reflection of their true satisfaction.",Aggregation difficulty,TRUE,,
FP_CI_F13_2,flawed_FP,F13,Life satisfaction,"Taking everything into account, how satisfied are you with the way things are going in your life at this moment?",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,CI-Guided,"Respondents found the phrasing 'taking everything into account' and 'the way things are going' to be somewhat vague, leading to uncertainty in how to appropriately focus their response.",Response option inadequacy,TRUE,,
FP_ER_F13_1,flawed_FP,F13,Life satisfaction,"Taking everything into account, how satisfied are you with the way things are going in your life at this moment?",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,ER-Directed,"The phrase 'Taking everything into account' is ambiguous and might lead different respondents to consider different aspects of their lives, leading to inconsistent interpretations.",Vague/ambiguous terms,TRUE,,
FP_ER_F13_2,flawed_FP,F13,Life satisfaction,"Taking everything into account, how satisfied are you with the way things are going in your life at this moment?",0 - Extremely dissatisfied; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10 - Extremely satisfied,ER-Directed,"The question combines satisfaction with 'the way things are going' and 'in your life at this moment', which could lead to different interpretations.",Vague/ambiguous terms,TRUE,,
FP_CI_F14_1,flawed_FP,F14,Childcare arrangements,How satisfied are you with the availability and affordability of childcare services in your area?,Very satisfied; Fairly satisfied; Neither satisfied nor dissatisfied; Fairly dissatisfied; Very dissatisfied,CI-Guided,"The response options do not include a 'not applicable' or 'don't know' option, forcing respondents without experience or opinion to choose an answer that doesn't reflect their situation.",Response option inadequacy,TRUE,,
FP_CI_F15_1,flawed_FP,F15,Environmental behaviour,"Considering the urgent need to address climate change and the fact that individual actions collectively make a significant difference, to what extent have you made changes to your daily habits specifically to reduce your personal carbon footprint over the past year?",A great deal; A fair amount; A little; Not at all,CI-Guided,"Respondents found terms like 'reduce your personal carbon footprint' and 'daily habits' to be vague, leading to different interpretations.",Vague/ambiguous terms,TRUE,,
FP_CI_F15_2,flawed_FP,F15,Environmental behaviour,"Considering the urgent need to address climate change and the fact that individual actions collectively make a significant difference, to what extent have you made changes to your daily habits specifically to reduce your personal carbon footprint over the past year?",A great deal; A fair amount; A little; Not at all,CI-Guided,"The response options were seen as lacking nuance and failing to capture the respondent's level of change, particularly between 'a fair amount' and 'a little'.",Response option inadequacy,TRUE,,
FP_CI_F15_3,flawed_FP,F15,Environmental behaviour,"Considering the urgent need to address climate change and the fact that individual actions collectively make a significant difference, to what extent have you made changes to your daily habits specifically to reduce your personal carbon footprint over the past year?",A great deal; A fair amount; A little; Not at all,CI-Guided,Respondents struggled to gauge the significance of their actions due to a lack of expertise in environmental science and the challenge of weighing various small actions.,Other,TRUE,,
FP_CI_F15_4,flawed_FP,F15,Environmental behaviour,"Considering the urgent need to address climate change and the fact that individual actions collectively make a significant difference, to what extent have you made changes to your daily habits specifically to reduce your personal carbon footprint over the past year?",A great deal; A fair amount; A little; Not at all,CI-Guided,"The question assumes respondents have made changes specifically for climate reasons, which may not be true for everyone.",Presupposition,TRUE,,
FP_ER_F15_1,flawed_FP,F15,Environmental behaviour,"Considering the urgent need to address climate change and the fact that individual actions collectively make a significant difference, to what extent have you made changes to your daily habits specifically to reduce your personal carbon footprint over the past year?",A great deal; A fair amount; A little; Not at all,ER-Directed,"The question requires respondents to recall changes over a lengthy reference period, which may lead to inaccurate recall.",Temporal/recall difficulty,TRUE,,
FP_ER_F16_1,flawed_FP,F16,Volunteering,How many times in the past year have you done voluntary or unpaid work for a community organisation?,None; 1-2 times; 3-5 times; 6-10 times; More than 10 times,ER-Directed,"The response options may not adequately capture the frequency of volunteer work, particularly for those who volunteer very frequently, and there is a potential gap between the higher-frequency options.",Response option inadequacy,TRUE,,
FP_CI_F17_1,flawed_FP,F17,Housing situation,How adequate is the amount of space in the home where you currently live for the needs of your household?,Far too much space; Slightly too much space; About right; Slightly too little space; Far too little space,CI-Guided,"Personal circumstances, such as health and mobility issues, can influence how respondents assess the adequacy of space, which may not align with the intended focus of the question.",Sensitivity,TRUE,,
FP_ER_F17_1,flawed_FP,F17,Housing situation,How adequate is the amount of space in the home where you currently live for the needs of your household?,Far too much space; Slightly too much space; About right; Slightly too little space; Far too little space,ER-Directed,"The question simultaneously addresses 'space' and 'needs of your household', which may be distinct concepts for respondents, leading to confusion.",Leading/biasing,TRUE,,
FP_ER_F17_2,flawed_FP,F17,Housing situation,How adequate is the amount of space in the home where you currently live for the needs of your household?,Far too much space; Slightly too much space; About right; Slightly too little space; Far too little space,ER-Directed,"The response options lack a neutral choice, such as 'No opinion' or 'Not applicable', which may be necessary for some respondents.",Response option inadequacy,TRUE,,
FP_CI_F18_1,flawed_FP,F18,Relationship quality,How often do you and your partner argue about money and about how to raise your children?,Very often; Often; Sometimes; Rarely; Never,CI-Guided,"The response options do not include a 'not applicable' choice, which is needed for respondents without a partner or children, forcing them to choose an inaccurate option.",Response option inadequacy,TRUE,,
FP_ER_F18_1,flawed_FP,F18,Relationship quality,How often do you and your partner argue about money and about how to raise your children?,Very often; Often; Sometimes; Rarely; Never,ER-Directed,"The question does not specify a time frame for recalling arguments, making it difficult for respondents to assess frequency accurately.",Temporal/recall difficulty,TRUE,,
FP_ER_F18_2,flawed_FP,F18,Relationship quality,How often do you and your partner argue about money and about how to raise your children?,Very often; Often; Sometimes; Rarely; Never,ER-Directed,"The response options might not adequately capture the frequency spectrum for every respondent, especially since the question is double-barrelled.",Response option inadequacy,TRUE,,
FP_CI_F19_1,flawed_FP,F19,Political trust,"Given the recent scandals in government, how much trust do you have in politicians to act in the public interest?",A great deal of trust; Quite a lot of trust; Some trust; Very little trust; No trust at all,CI-Guided,"The term 'public interest' is vague and can mean different things to different people, potentially leading to varied interpretations of the question.",Vague/ambiguous terms,TRUE,,
FP_CI_F19_2,flawed_FP,F19,Political trust,"Given the recent scandals in government, how much trust do you have in politicians to act in the public interest?",A great deal of trust; Quite a lot of trust; Some trust; Very little trust; No trust at all,CI-Guided,"The mention of 'recent scandals' might influence respondents' thinking, even if they are not fully aware of or interested in them.",Other,TRUE,,
FP_CI_F19_3,flawed_FP,F19,Political trust,"Given the recent scandals in government, how much trust do you have in politicians to act in the public interest?",A great deal of trust; Quite a lot of trust; Some trust; Very little trust; No trust at all,CI-Guided,"The question oversimplifies the concept of trust in politicians, as trust can vary depending on the individual politician or situation.",Other,TRUE,,
FP_ER_F19_1,flawed_FP,F19,Political trust,"Given the recent scandals in government, how much trust do you have in politicians to act in the public interest?",A great deal of trust; Quite a lot of trust; Some trust; Very little trust; No trust at all,ER-Directed,"The question presupposes that the respondent is aware of recent scandals in government, which may not be true for all respondents.",Presupposition,TRUE,,
FP_CI_F2_1,flawed_FP,F2,Financial wellbeing,How would you describe your current financial situation?,Living comfortably; Doing alright; Just about getting by; Finding it quite difficult; Finding it very difficult,CI-Guided,"The term 'current' in the question is vague and can be interpreted to refer to different time frames, such as the past week, month, year, or in general.",Vague/ambiguous terms,TRUE,,
FP_ER_F20_1,flawed_FP,F20,Time use,"On a typical weekday, approximately how many hours do you spend on leisure activities, not including time spent on domestic tasks, caring responsibilities, or personal grooming, but including any time spent on hobbies, socialising, watching television, reading, or using the internet for personal enjoyment?",None; Less than 1 hour; 1-2 hours; 3-4 hours; 5-6 hours; More than 6 hours,ER-Directed,"The response options may not adequately capture the range of possible answers, especially for respondents whose leisure time varies or falls on the boundary of provided categories.",Response option inadequacy,TRUE,,
FP_ER_F20_2,flawed_FP,F20,Time use,"On a typical weekday, approximately how many hours do you spend on leisure activities, not including time spent on domestic tasks, caring responsibilities, or personal grooming, but including any time spent on hobbies, socialising, watching television, reading, or using the internet for personal enjoyment?",None; Less than 1 hour; 1-2 hours; 3-4 hours; 5-6 hours; More than 6 hours,ER-Directed,"The question presupposes that all respondents engage in leisure activities every weekday, which may not be true for all.",Presupposition,TRUE,,
FP_CI_F3_1,flawed_FP,F3,Physical activity,"In a typical week, how many hours do you spend doing vigorous physical activity and moderate physical activity combined?",None; Less than 1 hour; 1-3 hours; 4-6 hours; 7-10 hours; More than 10 hours,CI-Guided,"Respondents are uncertain about how to interpret 'vigorous' and 'moderate' physical activities, which could lead to varied interpretations and affect accuracy.",Vague/ambiguous terms,TRUE,,
FP_CI_F3_2,flawed_FP,F3,Physical activity,"In a typical week, how many hours do you spend doing vigorous physical activity and moderate physical activity combined?",None; Less than 1 hour; 1-3 hours; 4-6 hours; 7-10 hours; More than 10 hours,CI-Guided,"Perceived gaps or lack of flexibility in response options, making it challenging to choose the most accurate answer.",Response option inadequacy,TRUE,,
FP_ER_F3_1,flawed_FP,F3,Physical activity,"In a typical week, how many hours do you spend doing vigorous physical activity and moderate physical activity combined?",None; Less than 1 hour; 1-3 hours; 4-6 hours; 7-10 hours; More than 10 hours,ER-Directed,"The terms 'vigorous physical activity' and 'moderate physical activity' could be ambiguous or misunderstood, as respondents might not clearly distinguish between these levels of activity without standardized definitions.",Vague/ambiguous terms,TRUE,,
FP_ER_F3_2,flawed_FP,F3,Physical activity,"In a typical week, how many hours do you spend doing vigorous physical activity and moderate physical activity combined?",None; Less than 1 hour; 1-3 hours; 4-6 hours; 7-10 hours; More than 10 hours,ER-Directed,"The response options may not adequately capture all possible answers and might not be fine-grained enough for accurate reporting, particularly for exact hours like 3, 6, or more than 10.",Response option inadequacy,TRUE,,
FP_CI_F4_1,flawed_FP,F4,Immigration attitudes,"Given the growing pressure on public services, don't you think that the government should do more to reduce the number of immigrants coming to this country, particularly those who may not contribute to the economy?",Strongly agree; Agree; Neither agree nor disagree; Disagree; Strongly disagree,CI-Guided,"The question is perceived as leading by implying a direct link between immigration and pressure on public services, suggesting a particular viewpoint that may bias responses.",Response option inadequacy,TRUE,,
FP_CI_F4_2,flawed_FP,F4,Immigration attitudes,"Given the growing pressure on public services, don't you think that the government should do more to reduce the number of immigrants coming to this country, particularly those who may not contribute to the economy?",Strongly agree; Agree; Neither agree nor disagree; Disagree; Strongly disagree,CI-Guided,"The response options do not capture the nuance of respondents' views, lacking categories like 'I don't know' or 'Unsure,' making it difficult for respondents to choose an option that fully represents their opinion.",Response option inadequacy,TRUE,,
FP_ER_F4_1,flawed_FP,F4,Immigration attitudes,"Given the growing pressure on public services, don't you think that the government should do more to reduce the number of immigrants coming to this country, particularly those who may not contribute to the economy?",Strongly agree; Agree; Neither agree nor disagree; Disagree; Strongly disagree,ER-Directed,"The question touches on immigration, a sensitive topic that may lead respondents to provide socially desirable answers instead of their true opinions.",Sensitivity,TRUE,,
FP_ER_F4_2,flawed_FP,F4,Immigration attitudes,"Given the growing pressure on public services, don't you think that the government should do more to reduce the number of immigrants coming to this country, particularly those who may not contribute to the economy?",Strongly agree; Agree; Neither agree nor disagree; Disagree; Strongly disagree,ER-Directed,"The question presupposes that there is a growing pressure on public services and that some immigrants do not contribute to the economy, which may not be true for all respondents.",Presupposition,TRUE,,
FP_CI_F5_1,flawed_FP,F5,Job satisfaction,"Overall, how satisfied are you with your terms of employment?",Completely satisfied; Very satisfied; Fairly satisfied; Not very satisfied; Not at all satisfied,CI-Guided,"The response options do not include a 'not applicable' choice, making it difficult for respondents who are not currently employed to select an appropriate answer.",Response option inadequacy,TRUE,,
FP_CI_F5_2,flawed_FP,F5,Job satisfaction,"Overall, how satisfied are you with your terms of employment?",Completely satisfied; Very satisfied; Fairly satisfied; Not very satisfied; Not at all satisfied,CI-Guided,"Respondents who are no longer employed have difficulty recalling specific details about their past employment terms, affecting their ability to provide an accurate response.",Response option inadequacy,TRUE,,
FP_ER_F5_1,flawed_FP,F5,Job satisfaction,"Overall, how satisfied are you with your terms of employment?",Completely satisfied; Very satisfied; Fairly satisfied; Not very satisfied; Not at all satisfied,ER-Directed,"The question could be considered double-barrelled if 'terms of employment' is interpreted to include multiple distinct aspects, leading respondents to potentially want to provide different satisfaction levels for each.",Vague/ambiguous terms,TRUE,,
FP_ER_F5_2,flawed_FP,F5,Job satisfaction,"Overall, how satisfied are you with your terms of employment?",Completely satisfied; Very satisfied; Fairly satisfied; Not very satisfied; Not at all satisfied,ER-Directed,Respondents may find it challenging to evaluate their satisfaction with the terms of employment if they need to consider multiple factors over time without a clear reference period.,Other,TRUE,,
FP_ER_F6_1,flawed_FP,F6,Household income,"What is your household's total monthly income from all sources, before tax and deductions?","Less than £1,000; £1,000 - £1,999; £2,000 - £2,999; £3,000 - £3,999; £4,000 - £4,999; £5,000 or more",ER-Directed,Response options may not accurately represent income distribution or capture all income ranges.,Response option inadequacy,FALSE,,
